,Date,Open,High,Low,Close,Adj Close,Volume
0,2024-08-01,8.170000076293945,8.170000076293945,7.835999965667725,7.926000118255615,7.926000118255615,1473798
1,2024-08-02,7.923999786376953,7.973999977111816,7.788000106811523,7.943999767303467,7.943999767303467,1538347
2,2024-08-05,7.736000061035156,7.826000213623047,7.4120001792907715,7.745999813079834,7.745999813079834,1602910
3,2024-08-06,7.803999900817871,7.883999824523926,7.642000198364258,7.831999778747559,7.831999778747559,710273
4,2024-08-07,7.9120001792907715,7.915999889373779,7.73199987411499,7.76200008392334,7.76200008392334,694034
5,2024-08-08,7.73199987411499,7.75600004196167,7.619999885559082,7.642000198364258,7.642000198364258,755346
6,2024-08-09,7.670000076293945,7.909999847412109,7.670000076293945,7.691999912261963,7.691999912261963,699454
7,2024-08-12,7.73199987411499,7.76200008392334,7.570000171661377,7.656000137329102,7.656000137329102,565146
8,2024-08-13,7.6579999923706055,7.673999786376953,7.432000160217285,7.6020002365112305,7.6020002365112305,766279
9,2024-08-14,7.730000019073486,7.794000148773193,7.546000003814697,7.610000133514404,7.610000133514404,751218
10,2024-08-15,7.593999862670898,7.834000110626221,7.519999980926514,7.74399995803833,7.74399995803833,964646
11,2024-08-16,7.78000020980835,7.800000190734863,7.668000221252441,7.75,7.75,587048
12,2024-08-19,7.783999919891357,7.857999801635742,7.5960001945495605,7.604000091552734,7.604000091552734,1295234
13,2024-08-20,7.644000053405762,7.771999835968018,7.535999774932861,7.556000232696533,7.556000232696533,961875
14,2024-08-21,7.561999797821045,7.75600004196167,7.53000020980835,7.576000213623047,7.576000213623047,882055
15,2024-08-22,7.579999923706055,7.659999847412109,7.489999771118164,7.515999794006348,7.515999794006348,778334
16,2024-08-23,7.51200008392334,7.670000076293945,7.5,7.644000053405762,7.644000053405762,823201
17,2024-08-26,7.659999847412109,7.685999870300293,7.558000087738037,7.659999847412109,7.659999847412109,634574
18,2024-08-27,7.659999847412109,7.889999866485596,7.630000114440918,7.820000171661377,7.820000171661377,1430633
19,2024-08-28,7.840000152587891,7.900000095367432,7.75,7.803999900817871,7.803999900817871,643112
20,2024-08-29,7.797999858856201,7.99399995803833,7.796000003814697,7.8979997634887695,7.8979997634887695,693616
21,2024-08-30,7.9679999351501465,8.244000434875488,7.9679999351501465,8.222000122070312,8.222000122070312,1916188
