date,level,message,error
2024-08-06,INFO,Entered departure date: 06.08.2024,
2024-08-06,INFO,Departure airport field is filled,
2024-08-06,INFO,Destination field is filled,
2024-08-06,INFO,Pressed Enter to search for flights,
2024-08-06,INFO,Successfully navigated to the search results page,
2024-08-06,INFO,Option selected from the dropdown,
2024-08-06,INFO,Economy option selected successfully,
2024-08-06,INFO,Price extracted successfully,
2024-08-06,INFO,Clicked button in the opened tab successfully,
2024-08-06,INFO,Total flight duration extracted successfully,
2024-08-06,INFO,Landing time extracted successfully,
2024-08-06,INFO,Departure time extracted successfully,
2024-08-06,INFO,Results saved to results/results_KLM.csv,
2024-08-06,INFO,Selenium WebDriver for KLM stopped,
2024-08-07,INFO,Flight data URL constructed successfully,
2024-08-07,INFO,Selenium WebDriver for KLM started (Frankfurt - Berlin),
2024-08-07,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Berlin&date=07.08.2024,
2024-08-07,INFO,Accepted cookies successfully,
2024-08-07,INFO,One way flight selected successfully.,
2024-08-07,INFO,Clicked on an empty area.,
2024-08-07,INFO,Entered departure airport: Frankfurt,
2024-08-07,INFO,Entered destination airport: Berlin,
2024-08-07,INFO,Entered departure date: 07.08.2024,
2024-08-07,INFO,Departure airport field is filled,
2024-08-07,INFO,Destination field is filled,
2024-08-07,INFO,Pressed Enter to search for flights,
2024-08-07,INFO,Successfully navigated to the search results page,
2024-08-07,INFO,Option selected from the dropdown,
2024-08-07,INFO,Economy option selected successfully,
2024-08-07,INFO,Price extracted successfully,
2024-08-07,INFO,Clicked button in the opened tab successfully,
2024-08-07,INFO,Total flight duration extracted successfully,
2024-08-07,INFO,Landing time extracted successfully,
2024-08-07,INFO,Departure time extracted successfully,
2024-08-07,INFO,Results saved to results/results_KLM.csv,
2024-08-07,INFO,Selenium WebDriver for KLM stopped,
2024-08-07,INFO,Flight data URL constructed successfully,
2024-08-07,INFO,Selenium WebDriver for KLM started (Frankfurt - Hamburg),
2024-08-07,INFO,URL opened successfully: https://www.klm.de/search/advanced?from=Frankfurt&to=Hamburg&date=07.08.2024,
2024-08-07,INFO,Accepted cookies successfully,
2024-08-07,INFO,One way flight selected successfully.,
2024-08-07,INFO,Clicked on an empty area.,
2024-08-07,INFO,Entered departure airport: Frankfurt,
2024-08-07,INFO,Entered destination airport: Hamburg,
2024-08-07,INFO,Entered departure date: 07.08.2024,
2024-08-07,INFO,Departure airport field is filled,
2024-08-07,INFO,Destination field is filled,
