date,level,message
2024-08-09,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-09,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Selenium WebDriver for QatarAirways started (FRA - BER)
2024-08-10,INFO,URL opened successfully
2024-08-10,INFO,Accepted cookies successfully
2024-08-10,INFO,Flight details page clicked
2024-08-10,INFO,Flight details page loaded successfully
2024-08-10,INFO,Transit duration extracted
2024-08-10,INFO,Results saved to results/results_QatarAirways.csv
2024-08-10,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Selenium WebDriver for QatarAirways started (FRA - HAM)
2024-08-10,INFO,URL opened successfully
2024-08-10,INFO,Accepted cookies successfully
2024-08-10,INFO,Flight details page clicked
2024-08-10,INFO,Flight details page loaded successfully
2024-08-10,INFO,Transit duration extracted
2024-08-10,INFO,Results saved to results/results_QatarAirways.csv
2024-08-10,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Selenium WebDriver for QatarAirways started (FRA - LHR)
2024-08-10,INFO,URL opened successfully
2024-08-10,INFO,Accepted cookies successfully
2024-08-10,INFO,Flight details page clicked
2024-08-10,INFO,Flight details page loaded successfully
2024-08-10,INFO,Transit duration extracted
2024-08-10,INFO,Results saved to results/results_QatarAirways.csv
2024-08-10,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Selenium WebDriver for QatarAirways started (FRA - IST)
2024-08-10,INFO,URL opened successfully
2024-08-10,INFO,Accepted cookies successfully
2024-08-10,INFO,Flight details page clicked
2024-08-10,INFO,Flight details page loaded successfully
2024-08-10,INFO,Transit duration extracted
2024-08-10,INFO,Results saved to results/results_QatarAirways.csv
2024-08-10,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Flight data URL constructed successfully
2024-08-10,INFO,Selenium WebDriver for QatarAirways started (FRA - DXB)
2024-08-10,INFO,URL opened successfully
2024-08-10,INFO,Accepted cookies successfully
2024-08-10,INFO,Flight details page clicked
2024-08-10,INFO,Flight details page loaded successfully
2024-08-10,INFO,Transit duration extracted
2024-08-10,INFO,Results saved to results/results_QatarAirways.csv
2024-08-10,INFO,Selenium WebDriver for QatarAirways stopped
2024-08-10,INFO,Flight data URL constructed successfully
