airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
QatarAirways,17-08-2024,FRA,LHR,18-08-2024,17:45,20:30,13:15,True,04:35,1.228
QatarAirways,17-08-2024,FRA,SAW,18-08-2024,11:40,17:15,05:55,True,01:25,1.037
QatarAirways,17-08-2024,FRA,DXB,18-08-2024,11:45,20:30,10:15,True,04:30,795.0
QatarAirways,18-08-2024,FRA,BER,19-08-2024,34:50,20:30,07:20,True,22:55,1.043
QatarAirways,18-08-2024,FRA,HAM,19-08-2024,14:35,17:15,07:50,True,02:05,1.561
QatarAirways,18-08-2024,FRA,LHR,19-08-2024,14:10,17:15,06:25,True,00:00,1.156
QatarAirways,18-08-2024,FRA,SAW,19-08-2024,14:40,20:30,12:10,True,04:25,966
QatarAirways,18-08-2024,FRA,DXB,19-08-2024,11:45,20:30,10:15,True,04:30,689
QatarAirways,19-08-2024,FRA,BER,20-08-2024,17:25,20:30,13:55,True,05:30,851.0
QatarAirways,19-08-2024,FRA,HAM,20-08-2024,17:40,20:30,14:10,True,05:10,922.0
QatarAirways,19-08-2024,FRA,LHR,20-08-2024,14:35,17:15,06:50,True,01:10,1.142
QatarAirways,19-08-2024,FRA,SAW,20-08-2024,11:40,17:15,05:55,True,01:25,966.0
QatarAirways,19-08-2024,FRA,DXB,20-08-2024,12:55,20:30,11:25,True,05:40,489.0
QatarAirways,20-08-2024,FRA,BER,21-08-2024,17:05,20:50,13:55,True,05:10,851.0
QatarAirways,20-08-2024,FRA,HAM,21-08-2024,14:35,17:15,07:50,True,02:05,1.972
QatarAirways,20-08-2024,FRA,LHR,21-08-2024,17:25,20:50,13:15,True,04:15,1.478
QatarAirways,20-08-2024,FRA,SAW,21-08-2024,11:40,17:15,05:55,True,01:25,966.0
QatarAirways,20-08-2024,FRA,DXB,21-08-2024,09:00,10:25,21:25,True,01:45,489.0
QatarAirways,21-08-2024,FRA,BER,22-08-2024,17:25,20:30,13:55,True,05:30,910.0
QatarAirways,21-08-2024,FRA,HAM,22-08-2024,17:40,20:30,14:10,True,05:10,950.0
QatarAirways,21-08-2024,FRA,LHR,22-08-2024,18:40,20:30,14:10,True,05:30,1.186
QatarAirways,21-08-2024,FRA,SAW,22-08-2024,14:40,20:30,12:10,True,04:25,966.0
QatarAirways,21-08-2024,FRA,DXB,22-08-2024,11:45,20:30,10:15,True,04:30,598.0
QatarAirways,22-08-2024,FRA,BER,23-08-2024,17:25,20:30,13:55,True,05:30,938.0
QatarAirways,22-08-2024,FRA,HAM,23-08-2024,14:35,17:15,07:50,True,02:05,5230.0
QatarAirways,22-08-2024,FRA,LHR,23-08-2024,17:45,20:30,13:15,True,04:35,1.244.0
QatarAirways,22-08-2024,FRA,SAW,23-08-2024,11:40,17:15,05:55,True,01:25,996.0
QatarAirways,22-08-2024,FRA,DXB,23-08-2024,09:00,10:25,21:25,True,01:45,525.0
QatarAirways,23-08-2024,FRA,BER,24-08-2024,00:00,00:00,00:00,False,00:00,00.0
QatarAirways,23-08-2024,FRA,HAM,24-08-2024,19:20,20:30,15:50,True,02:05,979.0
QatarAirways,23-08-2024,FRA,LHR,24-08-2024,17:45,20:30,13:15,True,04:35,1.243.0
QatarAirways,23-08-2024,FRA,SAW,24-08-2024,32:25,17:15,05:55,True,22:10,848.0
QatarAirways,23-08-2024,FRA,DXB,24-08-2024,09:00,10:25,21:25,True,01:45,528.0
QatarAirways,24-08-2024,FRA,BER,25-08-2024,34:50,20:30,07:20,True,22:55,1381.0
QatarAirways,24-08-2024,FRA,HAM,25-08-2024,35:20,20:30,07:50,True,22:50,3253.0
QatarAirways,24-08-2024,FRA,LHR,25-08-2024,14:10,17:15,06:25,True,00:00,2.035
