Date,Open,High,Low,Close,Adj Close,Volume,Airline
2024-08-01,8.170000076293945,8.170000076293945,7.835999965667725,7.926000118255615,7.926000118255615,1473798.0,KLM
2024-08-01,5.708000183105469,5.797999858856201,5.5879998207092285,5.6539998054504395,5.6539998054504395,7842242.0,Lufthansa
2024-08-01,293.0,298.25,293.0,297.5,297.5,21064407.0,Turkish
2024-08-02,7.923999786376953,7.973999977111816,7.788000106811523,7.943999767303467,7.943999767303467,1538347.0,KLM
2024-08-02,5.619999885559082,5.6620001792907715,5.492000102996826,5.561999797821045,5.561999797821045,7692759.0,Lufthansa
2024-08-02,292.5,293.75,288.25,291.5,291.5,19507021.0,Turkish
2024-08-03,7.923999786376953,7.973999977111816,7.788000106811523,7.943999767303467,7.943999767303467,1538347.0,KLM
2024-08-03,5.619999885559082,5.6620001792907715,5.492000102996826,5.561999797821045,5.561999797821045,7692759.0,Lufthansa
2024-08-03,292.5,293.75,288.25,291.5,291.5,19507021.0,Turkish
2024-08-04,7.923999786376953,7.973999977111816,7.788000106811523,7.943999767303467,7.943999767303467,1538347.0,KLM
2024-08-04,5.619999885559082,5.6620001792907715,5.492000102996826,5.561999797821045,5.561999797821045,7692759.0,Lufthansa
2024-08-04,292.5,293.75,288.25,291.5,291.5,19507021.0,Turkish
2024-08-05,7.736000061035156,7.826000213623047,7.4120001792907715,7.745999813079834,7.745999813079834,1602910.0,KLM
2024-08-05,5.426000118255615,5.659999847412109,5.383999824523926,5.604000091552734,5.604000091552734,8006944.0,Lufthansa
2024-08-05,271.25,280.75,271.25,277.0,277.0,33305862.0,Turkish
2024-08-06,7.803999900817871,7.883999824523926,7.642000198364258,7.831999778747559,7.831999778747559,710273.0,KLM
2024-08-06,5.671999931335449,5.71999979019165,5.5879998207092285,5.664000034332275,5.664000034332275,3516227.0,Lufthansa
2024-08-06,289.0,289.0,279.5,279.5,279.5,34068451.0,Turkish
2024-08-07,7.9120001792907715,7.915999889373779,7.73199987411499,7.76200008392334,7.76200008392334,694034.0,KLM
2024-08-07,5.699999809265137,5.71999979019165,5.619999885559082,5.6579999923706055,5.6579999923706055,3920864.0,Lufthansa
