,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
29,Lufthansa,08-08-2024,Frankfurt,München,09-08-2024,00:55,10:15,11:10,False,00:00,285.0
30,Lufthansa,08-08-2024,Frankfurt,London,09-08-2024,01:25,06:50,07:15,False,00:00,235.52
31,Lufthansa,08-08-2024,Frankfurt,Palma de Mallorca,09-08-2024,02:10,09:05,11:15,False,00:00,315.98
32,Lufthansa,08-08-2024,Frankfurt,Istanbul,09-08-2024,03:00,09:05,13:05,False,00:00,243.65
33,Lufthansa,08-08-2024,Frankfurt,Dubai,09-08-2024,22:05,21:00,21:05,True,13:40,966.48
34,Lufthansa,08-08-2024,Frankfurt,New York,09-08-2024,10:55,07:50,12:45,True,01:15,1601.54
35,Lufthansa,08-08-2024,Frankfurt,Shanghai,09-08-2024,12:15,15:00,09:15,False,00:00,1521.76
36,Lufthansa,09-08-2024,Frankfurt,Berlin,10-08-2024,01:10,06:45,07:55,False,00:00,177.6
37,Lufthansa,09-08-2024,Frankfurt,Hamburg,10-08-2024,01:05,06:30,07:35,False,00:00,241.08
38,Lufthansa,09-08-2024,Frankfurt,München,10-08-2024,00:55,07:15,08:10,False,00:00,189.0
39,Lufthansa,09-08-2024,Frankfurt,London,10-08-2024,01:40,21:30,22:10,False,00:00,276.65
40,Lufthansa,09-08-2024,Frankfurt,Palma de Mallorca,10-08-2024,02:10,04:50,07:00,False,00:00,315.98
41,Lufthansa,09-08-2024,Frankfurt,Istanbul,10-08-2024,03:00,17:20,21:20,False,00:00,347.65
42,Lufthansa,09-08-2024,Frankfurt,Dubai,10-08-2024,25:25,17:40,21:05,True,17:10,941.31
43,Lufthansa,09-08-2024,Frankfurt,New York,10-08-2024,11:10,15:00,20:10,True,01:25,1524.46
44,Lufthansa,09-08-2024,Frankfurt,Shanghai,10-08-2024,12:15,15:00,09:15,False,00:00,1521.76
45,Lufthansa,10-08-2024,Frankfurt,Berlin,11-08-2024,01:10,07:45,08:55,False,00:00,237.6
46,Lufthansa,10-08-2024,Frankfurt,Hamburg,11-08-2024,01:05,06:30,07:35,False,00:00,241.08
47,Lufthansa,10-08-2024,Frankfurt,München,11-08-2024,00:55,07:15,08:10,False,00:00,189.0
48,Lufthansa,10-08-2024,Frankfurt,London,11-08-2024,17:05,06:40,17:45,True,05:30,1713.9
49,Lufthansa,10-08-2024,Frankfurt,Palma de Mallorca,11-08-2024,02:10,04:50,07:00,False,00:00,315.98
50,Lufthansa,10-08-2024,Frankfurt,Istanbul,11-08-2024,03:00,09:05,13:05,False,00:00,362.65
51,Lufthansa,10-08-2024,Frankfurt,Dubai,11-08-2024,11:15,07:50,21:05,True,03:55,975.04
52,Lufthansa,10-08-2024,Frankfurt,New York,11-08-2024,08:30,11:10,13:40,False,00:00,1601.42
53,Lufthansa,10-08-2024,Frankfurt,Shanghai,11-08-2024,12:15,15:00,09:15,False,00:00,1521.76
54,Lufthansa,11-08-2024,Frankfurt,Berlin,12-08-2024,01:10,11:45,12:55,False,00:00,333.6
55,Lufthansa,11-08-2024,Frankfurt,Hamburg,12-08-2024,01:05,20:15,21:20,False,00:00,313.08
56,Lufthansa,11-08-2024,Frankfurt,München,12-08-2024,00:55,12:15,13:10,False,00:00,369.0
57,Lufthansa,11-08-2024,Frankfurt,London,12-08-2024,01:25,18:10,18:35,False,00:00,273.52
58,Lufthansa,11-08-2024,Frankfurt,Palma de Mallorca,12-08-2024,02:05,10:20,12:25,False,00:00,315.98
59,Lufthansa,11-08-2024,Frankfurt,Istanbul,12-08-2024,03:00,09:05,13:05,False,00:00,299.65
60,Lufthansa,11-08-2024,Frankfurt,Dubai,12-08-2024,11:35,07:30,21:05,True,03:10,933.66
61,Lufthansa,11-08-2024,Frankfurt,New York,12-08-2024,10:55,07:50,12:45,True,01:15,1601.42
62,Lufthansa,11-08-2024,Frankfurt,Shanghai,12-08-2024,12:15,15:00,09:15,False,00:00,1521.76
63,Lufthansa,12-08-2024,Frankfurt,Berlin,13-08-2024,01:10,17:45,18:55,False,00:00,333.6
64,Lufthansa,12-08-2024,Frankfurt,Hamburg,13-08-2024,01:05,20:15,21:20,False,00:00,313.08
65,Lufthansa,12-08-2024,Frankfurt,München,13-08-2024,00:55,13:15,14:10,False,00:00,369.0
66,Lufthansa,12-08-2024,Frankfurt,London,13-08-2024,01:25,08:15,08:40,False,00:00,235.52
