Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-08-07,21.9,17.5,28.0,15.0,0.0,230.0,9.1,25.9,1012.0,410.0,Frankfurt
2024-08-07,33.1,29.0,38.0,0.0,,149.0,15.0,,1005.1,,Shanghai
2024-08-07,17.0,11.4,21.5,0.0,,226.0,15.1,40.8,1012.3,,London
2024-08-07,36.7,33.9,40.9,0.0,,64.0,13.9,,997.2,,Dubai
2024-08-08,30.5,24.0,37.0,0.0,,54.0,13.2,,1013.5,,Palma
2024-08-08,37.1,33.0,43.1,0.0,,89.0,19.6,,997.1,,Dubai
2024-08-08,17.9,12.3,23.5,0.9,0.0,260.0,10.1,31.3,1015.1,388.0,Hamburg
2024-08-08,20.1,16.7,22.7,0.0,0.0,287.0,12.4,31.5,1014.5,,Berlin
2024-08-08,20.6,19.4,22.0,8.3,0.0,42.0,20.8,,1018.2,,New_York
2024-08-08,17.0,11.9,19.9,0.3,,207.0,20.5,50.0,1014.1,,London
2024-08-08,31.8,27.0,39.0,0.3,,148.0,10.2,,1004.2,,Shanghai
2024-08-08,19.6,16.6,24.5,4.8,0.0,271.0,5.8,21.6,1016.1,165.0,Munich
2024-08-08,25.5,22.0,29.0,0.0,,56.0,17.0,,1012.0,,Istanbul
2024-08-08,20.7,17.0,25.5,0.0,0.0,272.0,8.4,20.4,1016.5,534.0,Frankfurt
2024-08-09,36.4,32.7,42.2,0.0,,88.0,23.6,,999.0,,Dubai
2024-08-09,29.4,24.0,36.0,0.0,,69.0,11.1,,1016.6,,Palma
2024-08-09,27.1,24.0,32.0,0.0,,34.0,17.5,,1011.6,,Istanbul
2024-08-09,20.4,16.1,24.4,0.0,,245.0,22.4,40.8,1013.9,,London
2024-08-09,25.3,22.0,27.2,25.2,0.0,174.0,18.4,,1012.5,,New_York
2024-08-09,21.5,14.4,27.7,0.0,0.0,249.0,6.5,28.1,1017.7,757.0,Munich
2024-08-09,22.1,15.8,28.1,0.0,0.0,243.0,13.9,33.3,1016.9,406.0,Frankfurt
2024-08-09,18.4,13.4,22.3,2.2,0.0,210.0,19.1,48.6,1012.5,123.0,Hamburg
2024-08-09,19.1,14.2,23.1,1.9,0.0,218.0,12.8,35.2,1014.7,,Berlin
2024-08-09,32.6,29.0,38.0,0.1,,159.0,11.8,,1002.8,,Shanghai
2024-08-10,18.4,12.4,24.1,0.0,0.0,256.0,14.4,43.2,1018.1,482.0,Hamburg
2024-08-10,23.2,18.5,29.0,0.0,0.0,256.0,10.3,24.1,1020.3,748.0,Frankfurt
2024-08-10,18.5,13.1,23.9,0.0,,222.0,15.1,37.0,1019.4,,London
2024-08-10,36.6,32.0,43.0,0.0,,83.0,20.0,,999.5,,Dubai
2024-08-10,23.7,19.1,29.3,0.0,0.0,281.0,6.5,28.1,1019.8,707.0,Munich
2024-08-10,20.1,14.7,25.3,0.0,0.0,269.0,12.3,33.3,1018.1,,Berlin
2024-08-10,27.6,24.6,31.2,0.0,,30.0,21.8,,1014.1,,Istanbul
2024-08-10,30.1,24.0,36.0,0.0,,43.0,11.2,,1017.2,,Palma
2024-08-10,32.9,29.0,38.0,0.0,,160.0,15.1,,1000.9,,Shanghai
2024-08-10,26.8,23.3,30.6,2.2,0.0,268.0,9.6,,1013.0,,New_York
2024-08-11,25.2,22.8,28.3,0.0,0.0,285.0,9.4,,1015.7,,New_York
2024-08-11,20.2,16.7,24.6,0.0,0.0,298.0,11.4,33.3,1020.4,,Berlin
2024-08-11,32.5,29.0,38.0,1.7,,167.0,13.1,,999.7,,Shanghai
2024-08-11,24.3,17.0,31.3,0.0,0.0,43.0,6.8,23.0,1018.2,826.0,Munich
2024-08-11,29.2,24.8,34.0,0.0,,63.0,12.2,,1014.4,,Palma
2024-08-11,21.3,15.3,27.5,0.0,,77.0,10.8,29.6,1019.8,,London
2024-08-11,37.5,32.7,42.5,0.0,,64.0,15.9,,997.7,,Dubai
2024-08-11,27.8,24.0,31.1,0.1,,36.0,23.0,,1015.6,,Istanbul
