airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
Lufthansa,2024-08-06,FRA,DXB,07-08-2024,22:05,21:00,21:05,True,13:35,956.33
Lufthansa,2024-08-06,FRA,JFK,07-08-2024,10:55,07:50,12:45,True,01:15,1601.55
Lufthansa,2024-08-06,FRA,PVG,07-08-2024,12:15,15:00,09:15,False,00:00,1521.76
Lufthansa,2024-08-06,FRA,LHR,07-08-2024,01:25,16:00,16:25,False,00:00,235.68
AustrianAirlines,2024-08-07,FRA,HAM,08-08-2024,01:05,20:15,21:20,False,00:00,313.08
AustrianAirlines,2024-08-07,FRA,MUC,08-08-2024,00:55,13:15,14:10,False,00:00,369.0
AustrianAirlines,2024-08-07,FRA,LHR,08-08-2024,01:25,16:00,16:25,False,00:00,235.57
AustrianAirlines,2024-08-07,FRA,PMI,08-08-2024,02:05,10:20,12:25,False,00:00,315.98
QatarAirways,2024-08-07,FRA,LHR,08-08-2024,15:15,17:15,07:30,True,02:05,1.507
QatarAirways,2024-08-07,FRA,BER,08-08-2024,14:05,17:15,07:20,True,02:10,944.0
AustrianAirlines,2024-08-07,FRA,DXB,08-08-2024,11:15,07:50,21:05,True,03:55,1005.22
AustrianAirlines,2024-08-07,FRA,BER,08-08-2024,01:10,11:45,12:55,False,00:00,333.6
AustrianAirlines,2024-08-07,FRA,SAW,08-08-2024,03:00,17:20,21:20,False,00:00,430.65
Lufthansa,2024-08-07,FRA,PVG,08-08-2024,12:15,15:00,09:15,False,00:00,1521.76
Lufthansa,2024-08-07,FRA,JFK,08-08-2024,11:30,07:50,13:20,True,01:25,1601.51
Lufthansa,2024-08-07,FRA,DXB,08-08-2024,11:15,07:50,21:05,True,03:55,1005.22
Lufthansa,2024-08-07,FRA,SAW,08-08-2024,03:00,17:20,21:20,False,00:00,430.65
Lufthansa,2024-08-07,FRA,PMI,08-08-2024,02:05,10:20,12:25,False,00:00,315.98
Lufthansa,2024-08-07,FRA,LHR,08-08-2024,01:25,16:00,16:25,False,00:00,235.57
Lufthansa,2024-08-07,FRA,MUC,08-08-2024,00:55,13:15,14:10,False,00:00,369.0
Lufthansa,2024-08-07,FRA,HAM,08-08-2024,01:05,20:15,21:20,False,00:00,313.08
Lufthansa,2024-08-07,FRA,BER,08-08-2024,01:10,11:45,12:55,False,00:00,333.6
QatarAirways,2024-08-07,FRA,SAW,08-08-2024,14:40,20:30,12:10,True,04:25,1.008
QatarAirways,2024-08-07,FRA,DXB,08-08-2024,11:45,20:30,10:15,True,04:30,493.0
QatarAirways,2024-08-07,FRA,HAM,08-08-2024,17:40,20:30,14:10,True,05:10,1.148
KLM,2024-08-07,FRA,DXB,08-08-2024,09:15,11:45,23:00,True,01:20,2098.0
KLM,2024-08-07,FRA,PVG,08-08-2024,20:15,11:45,14:00,True,05:45,3460.0
KLM,2024-08-07,FRA,JFK,08-08-2024,09:00,11:50,07:50,False,00:00,3098.0
AustrianAirlines,2024-08-07,FRA,JFK,08-08-2024,11:30,07:50,13:20,True,01:25,1601.51
AustrianAirlines,2024-08-07,FRA,PVG,08-08-2024,12:15,15:00,09:15,False,00:00,1521.76
KLM,2024-08-07,FRA,SAW,08-08-2024,09:55,11:55,22:40,True,03:30,3030.0
KLM,2024-08-07,FRA,PMI,08-08-2024,05:30,11:45,16:15,True,02:55,1258.0
KLM,2024-08-07,FRA,LHR,08-08-2024,06:10,14:15,19:25,True,03:30,548.0
KLM,2024-08-07,FRA,MUC,08-08-2024,03:55,18:30,22:25,True,01:15,1431.0
KLM,2024-08-07,FRA,HAM,08-08-2024,06:05,11:45,17:50,True,03:50,1922.0
AustrianAirlines,2024-08-08,FRA,LHR,09-08-2024,01:25,06:50,07:15,False,00:00,235.52
Lufthansa,2024-08-08,FRA,JFK,09-08-2024,10:55,07:50,12:45,True,01:15,1601.54
Lufthansa,2024-08-08,FRA,PVG,09-08-2024,12:15,15:00,09:15,False,00:00,1521.76
AustrianAirlines,2024-08-08,FRA,PMI,09-08-2024,02:10,09:05,11:15,False,00:00,315.98
Lufthansa,2024-08-08,FRA,BER,09-08-2024,01:10,21:15,22:25,False,00:00,199.6
AustrianAirlines,2024-08-08,FRA,SAW,09-08-2024,03:00,09:05,13:05,False,00:00,243.65
AustrianAirlines,2024-08-08,FRA,DXB,09-08-2024,22:05,21:00,21:05,True,13:40,966.48
AustrianAirlines,2024-08-08,FRA,JFK,09-08-2024,10:55,07:50,12:45,True,01:15,1601.54
AustrianAirlines,2024-08-08,FRA,PVG,09-08-2024,12:15,15:00,09:15,False,00:00,1521.76
KLM,2024-08-08,FRA,BER,09-08-2024,04:30,10:15,11:30,True,02:05,1296.0
KLM,2024-08-08,FRA,HAM,09-08-2024,04:25,10:20,11:25,True,02:10,1295.0
KLM,2024-08-08,FRA,JFK,09-08-2024,09:00,11:50,14:50,False,00:00,2994.0
KLM,2024-08-08,FRA,LHR,09-08-2024,04:45,10:15,10:45,True,02:05,667.0
KLM,2024-08-08,FRA,PVG,09-08-2024,22:55,10:15,15:10,True,04:30,3467.0
Lufthansa,2024-08-08,FRA,HAM,09-08-2024,01:05,20:15,21:20,False,00:00,313.08
AustrianAirlines,2024-08-08,FRA,BER,09-08-2024,01:10,21:15,22:25,False,00:00,199.6
AustrianAirlines,2024-08-08,FRA,HAM,09-08-2024,01:05,20:15,21:20,False,00:00,313.08
AustrianAirlines,2024-08-08,FRA,MUC,09-08-2024,00:55,10:15,11:10,False,00:00,285.0
KLM,2024-08-08,FRA,MUC,09-08-2024,03:55,21:00,22:25,True,01:15,789.0
